번호,법률,대통령령,부령,담당부서
1,가사근로자의 고용개선 등에 관한 법률,가사근로자의 고용개선 등에 관한 법률 시행령,가사근로자의 고용개선 등에 관한 법률 시행규칙,고용문화개선정책과
2,건설근로자의 고용개선 등에 관한 법률,건설근로자의 고용개선 등에 관한 법률 시행령,건설근로자의 고용개선 등에 관한 법률 시행규칙,지역산업고용정책과
3,경제사회노동위원회법,경제사회노동위원회법 시행령,,노사협력정책과
4,,,고용노동부 소관 비상대비에 관한 법률 시행규칙,비상안전담당관
5,,,고용노동부 소관 비영리법인의 설립 및 감독에 관한 규칙,규제개혁법무담당관
6,,고용노동부와 그 소속기관 직제,고용노동부와 그 소속기관 직제 시행규칙,혁신행정담당관
7,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행령,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙,"고용보험기획과, 산재보상정책과"
8,고용보험법,고용보험법 시행령,고용보험법 시행규칙," 고용보험기획과,고용정책총괄과, 고용지원실업급여과, 고용지원실업급여과, 여성고용정책과, 인적자원개발과"
9,산업전환에 따른 고용안정 지원 등에 관한 법률,산업전환에 따른 고용안정 지원 등에 관한 법률 시행령,,지역산업고용정책과
10,고용보험ㆍ산업재해보상보험의 보험관계 성립신고 등의 촉진을 위한 특별조치법,,,고용보험기획과
11,고용상 연령차별금지 및 고령자고용촉진에 관한 법률,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행령,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙,고령사회인력정책과
12,고용정책 기본법,고용정책 기본법 시행령,고용정책 기본법 시행규칙,고용정책총괄과
13,공무원의 노동조합 설립 및 운영 등에 관한 법률,공무원의 노동조합 설립 및 운영 등에 관한 법률 시행령,공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙,공공노사관계과
14,공인노무사법,공인노무사법 시행령,공인노무사법 시행규칙,근로기준정책과
15,공휴일에 관한 법률,,,임금근로시간과
16,교원의 노동조합 설립 및 운영 등에 관한 법률,교원의 노동조합 설립 및 운영 등에 관한 법률 시행령,교원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙,공공노사관계과
17,구직자 취업촉진 및 생활안정지원에 관한 법률,구직자 취업촉진 및 생활안정지원에 관한 법률 시행령,구직자 취업촉진 및 생활안정지원에 관한 법률 시행규칙,국민취업지원기획팀
18,국가기술자격법,국가기술자격법 시행령,국가기술자격법 시행규칙,직업능력평가과
19,국민 평생 직업능력 개발법,국민 평생 직업능력 개발법 시행령,국민 평생 직업능력 개발법 시행규칙,직업능력정책과
20,,근로감독관규정,근로감독관증 규칙,근로기준정책과
21,근로기준법,근로기준법 시행령,근로기준법 시행규칙,"근로기준정책과, 임금근로시간정책과, 여성고용정책과"
22,근로복지기본법,근로복지기본법 시행령,근로복지기본법 시행규칙,퇴직연금복지과
23,근로자의 날 제정에 관한 법률,,,노사협력정책과
24,근로자참여 및 협력증진에 관한 법률,근로자참여 및 협력증진에 관한 법률 시행령,근로자참여 및 협력증진에 관한 법률 시행규칙,노사관계법제과
25,근로자퇴직급여 보장법,근로자퇴직급여 보장법 시행령,근로자퇴직급여 보장법 시행규칙,퇴직연금복지과
26,기간제 및 단시간근로자 보호 등에 관한 법률,기간제 및 단시간근로자 보호 등에 관한 법률 시행령,기간제 및 단시간근로자 보호 등에 관한 법률 시행규칙,고용차별개선과
27,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률 시행령,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률 시행규칙,여성고용정책과
28,노동위원회법,노동위원회법 시행령,노동위원회법 시행규칙,노사관계법제과
29,노동조합 및 노동관계조정법,노동조합 및 노동관계조정법 시행령,노동조합 및 노동관계조정법 시행규칙,노사관계법제과
30,노사관계 발전 지원에 관한 법률,노사관계 발전 지원에 관한 법률 시행령,,노사협력정책과
31,무역조정 지원 등에 관한 법률,무역조정 지원 등에 관한 법률 시행령,무역조정 지원 등에 관한 법률 시행규칙,고용정책총괄과
32,사회적기업 육성법,사회적기업 육성법 시행령,사회적기업 육성법 시행규칙,사회적기업과
33,산업안전보건법,산업안전보건법 시행령,"산업안전보건법 시행규칙, 산업안전보건기준에 관한 규칙","산업안전보건정책과, 산업안전기준과, 산업보건기준과, 직업건강증진팀, 안전보건감독기획과, 산재예방지원과, 건설산재예방과, 화학사고예방과"
34,산업재해보상보험법,산업재해보상보험법 시행령,산업재해보상보험법 시행규칙,산재보상정책과
35,산업현장 일학습병행 지원에 관한 법률,산업현장 일학습병행 지원에 관한 법률 시행령,산업현장 일학습병행 지원에 관한 법률 시행규칙,기업훈련지원과
36,숙련기술장려법,숙련기술장려법 시행령,숙련기술장려법 시행규칙,직업능력평가과
37,여성의 경제활동 촉진과 경력단절 예방법,여성의 경제활동 촉진과 경력단절 예방법 시행령,여성의 경제활동 촉진과 경력단절 예방법 시행규칙,여성고용정책과
38,외국인근로자의 고용 등에 관한 법률,외국인근로자의 고용 등에 관한 법률 시행령,외국인근로자의 고용 등에 관한 법률 시행규칙,외국인력담당관
39,,,유해ㆍ위험작업의 취업 제한에 관한 규칙,"산업보건과, 산업안전과"
40,,일자리위원회의 설치 및 운영에 관한 규정,,고용정책총괄과
41,임금채권보장법,임금채권보장법 시행령,임금채권보장법 시행규칙,퇴직연금복지과
42,자격기본법,자격기본법 시행령,자격기본법 시행규칙,직업능력평가과
43,장애인고용촉진 및 직업재활법,장애인고용촉진 및 직업재활법 시행령,장애인고용촉진 및 직업재활법 시행규칙,장애인고용과
44,중대재해 처벌 등에 관한 법률,중대재해 처벌 등에 관한 법률 시행령,,중대산업재해감독과
45,직업교육훈련 촉진법,직업교육훈련 촉진법 시행령,,기업훈련지원과
46,직업안정법,직업안정법 시행령,직업안정법 시행규칙,고용서비스정책과
47,진폐의 예방과 진폐근로자의 보호 등에 관한 법률,진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령,진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행규칙,산재보상정책과
48,채용절차의 공정화에 관한 법률,채용절차의 공정화에 관한 법률 시행령,채용절차의 공정화에 관한 법률 시행규칙,공정채용기반과
49,청년고용촉진 특별법,청년고용촉진 특별법 시행령,,청년고용기획과
50,최저임금법,최저임금법 시행령,최저임금법 시행규칙,근로기준정책과
51,파견근로자 보호 등에 관한 법률,파견근로자 보호 등에 관한 법률 시행령,파견근로자 보호 등에 관한 법률 시행규칙,고용차별개선과
52,파독 광부ㆍ간호사ㆍ간호조무사에 대한 지원 및 기념사업에 관한 법률,파독 광부ㆍ간호사ㆍ간호조무사에 대한 지원 및 기념사업에 관한 법률 시행령,,개발협력지원팀
53,필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률,필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령,,근로기준정책과
54,한국고용노동교육원법,한국고용노동교육원법 시행령,,노사협력정책과
55,한국산업안전보건공단법,한국산업안전보건공단법 시행령,,산업안전보건정책과
56,한국산업인력공단법,한국산업인력공단법 시행령,,직업능력정책과
