번호,법령명,법령종류,공포번호,공포일자,시행일자
1,가사근로자의 고용개선 등에 관한 법률,법률,제18285호,2021-06-15,2022-06-16
2,가사근로자의 고용개선 등에 관한 법률 시행령,대통령령,제35172호,2024-12-31,2024-12-31
3,가사근로자의 고용개선 등에 관한 법률 시행규칙,고용노동부령,제354호,2022-06-09,2022-06-16
4,건설근로자의 고용개선 등에 관한 법률,법률,제18425호,2021-08-17,2022-02-18
5,건설근로자의 고용개선 등에 관한 법률 시행령,대통령령,제34494호,2024-05-07,2024-05-17
6,건설근로자의 고용개선 등에 관한 법률 시행규칙,고용노동부령,제424호,2024-08-28,2024-08-28
7,경제사회노동위원회법,법률,제17864호,2021-01-05,2021-07-06
8,경제사회노동위원회법 시행령,대통령령,제29150호,2018-09-11,2018-09-13
9,고용노동부 소관 비상대비에 관한 법률 시행규칙,고용노동부령,제372호,2022-12-16,2022-12-16
10,고용노동부 소관 비영리법인의 설립 및 감독에 관한 규칙,고용노동부령,제185호,2017-04-19,2017-04-19
11,고용노동부와 그 소속기관 직제,대통령령,제35140호,2024-12-31,2024-12-31
12,고용노동부와 그 소속기관 직제 시행규칙,고용노동부령,제429호,2024-12-31,2024-12-31
13,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률,법률,제19209호,2022-12-31,2024-01-01
14,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행령,대통령령,제35101호,2024-12-24,2025-01-01
15,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙,고용노동부령,제432호,2024-12-31,2025-01-01
16,고용보험법,법률,제20519호,2024-10-22,2025-02-23
17,고용보험법 시행령,대통령령,제35277호,2025-02-18,2025-02-23
18,고용보험법 시행규칙,고용노동부령,제437호,2025-02-21,2025-02-23
19,고용보험ㆍ산업재해보상보험의 보험관계 성립신고 등의 촉진을 위한 특별조치법,법률,제9336호,2009-01-07,2009-01-07
20,고용상 연령차별금지 및 고령자고용촉진에 관한 법률,법률,제18921호,2022-06-10,2022-06-10
21,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행령,대통령령,제35100호,2024-12-24,2025-01-01
22,고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙,고용노동부령,제358호,2022-07-01,2022-07-01
23,고용정책 기본법,법률,제19965호,2024-01-09,2024-01-09
24,고용정책 기본법 시행령,대통령령,제34416호,2024-04-16,2024-04-25
25,고용정책 기본법 시행규칙,고용노동부령,제402호,2023-12-05,2023-12-05
26,공무원의 노동조합 설립 및 운영 등에 관한 법률,법률,제18922호,2022-06-10,2023-12-11
27,공무원의 노동조합 설립 및 운영 등에 관한 법률 시행령,대통령령,제33903호,2023-12-05,2023-12-11
28,공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙,고용노동부령,제407호,2023-12-29,2024-01-01
29,공인노무사법,법률,제18923호,2022-06-10,2022-12-11
30,공인노무사법 시행령,대통령령,제34921호,2024-09-26,2024-09-26
31,공인노무사법 시행규칙,고용노동부령,제375호,2022-12-30,2022-12-30
32,공휴일에 관한 법률,법률,제18291호,2021-07-07,2022-01-01
33,교원의 노동조합 설립 및 운영 등에 관한 법률,법률,제18924호,2022-06-10,2023-12-11
34,교원의 노동조합 설립 및 운영 등에 관한 법률 시행령,대통령령,제33904호,2023-12-05,2023-12-11
35,교원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙,고용노동부령,제327호,2021-07-06,2021-07-06
36,구직자 취업촉진 및 생활안정지원에 관한 법률,법률,제19610호,2023-08-08,2024-02-09
37,구직자 취업촉진 및 생활안정지원에 관한 법률 시행령,대통령령,제34195호,2024-02-06,2024-02-09
38,구직자 취업촉진 및 생활안정지원에 관한 법률 시행규칙,고용노동부령,제410호,2024-02-13,2024-02-13
39,국가기술자격법,법률,제18925호,2022-06-10,2022-06-10
40,국가기술자격법 시행령,대통령령,제34591호,2024-06-25,2024-06-27
41,국가기술자격법 시행규칙,고용노동부령,제427호,2024-10-30,2025-01-01
42,국민 평생 직업능력 개발법,법률,제19174호,2023-01-03,2023-07-04
43,국민 평생 직업능력 개발법 시행령,대통령령,제34472호,2024-04-30,2024-05-01
44,국민 평생 직업능력 개발법 시행규칙,고용노동부령,제416호,2024-06-12,2024-06-12
45,근로감독관규정,대통령령,제22465호,2010-10-27,2010-10-27
46,근로감독관증 규칙,고용노동부령,제158호,2016-06-16,2016-06-16
47,근로기준법,법률,제20520호,2024-10-22,2025-02-23
48,근로기준법 시행령,대통령령,제35276호,2025-02-18,2025-02-23
49,근로기준법 시행규칙,고용노동부령,제436호,2025-02-21,2025-02-23
50,근로복지기본법,법률,제18926호,2022-06-10,2023-06-11
51,근로복지기본법 시행령,대통령령,제35228호,2025-01-21,2025-01-31
52,근로복지기본법 시행규칙,고용노동부령,제395호,2023-10-06,2024-01-01
53,근로자의 날 제정에 관한 법률,법률,제13901호,2016-01-27,2016-01-27
54,근로자참여 및 협력증진에 관한 법률,법률,제18927호,2022-06-10,2022-12-11
55,근로자참여 및 협력증진에 관한 법률 시행령,대통령령,제32983호,2022-11-08,2022-12-11
56,근로자참여 및 협력증진에 관한 법률 시행규칙,고용노동부령,제381호,2023-06-08,2023-06-08
57,근로자퇴직급여 보장법,법률,제18752호,2022-01-11,2022-07-12
58,근로자퇴직급여 보장법 시행령,대통령령,제34533호,2024-05-28,2024-05-28
59,근로자퇴직급여 보장법 시행규칙,고용노동부령,제359호,2022-07-12,2022-07-12
60,기간제 및 단시간근로자 보호 등에 관한 법률,법률,제18177호,2021-05-18,2021-05-18
61,기간제 및 단시간근로자 보호 등에 관한 법률 시행령,대통령령,제31611호,2021-04-06,2021-04-08
62,기간제 및 단시간근로자 보호 등에 관한 법률 시행규칙,노동부령,제277호,2007-06-29,2007-07-01
63,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률,법률,제20521호,2024-10-22,2025-02-23
64,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률 시행령,대통령령,제35275호,2025-02-18,2025-02-23
65,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률 시행규칙,고용노동부령,제434호,2025-02-21,2025-02-23
66,노동위원회법,법률,제18179호,2021-05-18,2022-05-19
67,노동위원회법 시행령,대통령령,제35089호,2024-12-24,2024-12-27
68,노동위원회법 시행규칙,고용노동부령,제135호,2015-07-20,2015-07-21
69,노동조합 및 노동관계조정법,법률,제17864호,2021-01-05,2021-07-06
70,노동조합 및 노동관계조정법 시행령,대통령령,제35228호,2025-01-21,2025-01-31
71,노동조합 및 노동관계조정법 시행규칙,고용노동부령,제405호,2023-12-29,2024-01-01
72,노사관계 발전 지원에 관한 법률,법률,제13905호,2016-01-27,2016-01-27
73,노사관계 발전 지원에 관한 법률 시행령,대통령령,제29950호,2019-07-02,2019-07-02
74,사회적기업 육성법,법률,제11275호,2012-02-01,2012-08-02
75,사회적기업 육성법 시행령,대통령령,제34487호,2024-05-07,2024-05-17
76,사회적기업 육성법 시행규칙,고용노동부령,제269호,2019-12-20,2019-12-20
77,산업안전보건기준에 관한 규칙,고용노동부령,제417호,2024-06-28,2024-12-29
78,산업안전보건법,법률,제19591호,2023-08-08,2024-05-17
79,산업안전보건법 시행령,대통령령,제35240호,2025-01-31,2025-01-31
80,산업안전보건법 시행규칙,고용노동부령,제419호,2024-06-28,2025-01-01
81,산업재해보상보험법,법률,제20523호,2024-10-22,2025-01-01
82,산업재해보상보험법 시행령,대통령령,제35160호,2024-12-31,2025-01-01
83,산업재해보상보험법 시행규칙,고용노동부령,제384호,2023-06-30,2023-07-01
84,산업전환에 따른 고용안정 지원 등에 관한 법률,법률,제19760호,2023-10-24,2024-04-25
85,산업전환에 따른 고용안정 지원 등에 관한 법률 시행령,대통령령,제34415호,2024-04-16,2024-04-25
86,산업현장 일학습병행 지원에 관한 법률,법률,제18425호,2021-08-17,2022-02-18
87,산업현장 일학습병행 지원에 관한 법률 시행령,대통령령,제32447호,2022-02-17,2022-02-18
88,산업현장 일학습병행 지원에 관한 법률 시행규칙,고용노동부령,제291호,2020-08-28,2020-08-28
89,숙련기술장려법,법률,제19559호,2023-07-18,2023-07-18
90,숙련기술장려법 시행령,대통령령,제31585호,2021-03-30,2021-04-01
91,숙련기술장려법 시행규칙,고용노동부령,제422호,2024-07-30,2024-07-30
92,여성의 경제활동 실태조사 등에 관한 규칙,여성가족부령,제176호,2022-06-08,2022-06-08
93,여성의 경제활동 촉진과 경력단절 예방법,법률,제20418호,2024-03-26,2024-09-27
94,여성의 경제활동 촉진과 경력단절 예방법 시행령,대통령령,제34988호,2024-11-12,2024-11-12
95,여성의 경제활동 촉진과 경력단절 예방법 시행규칙,고용노동부령/여성가족부령,제352호/제175호,2022-06-08,2022-06-08
96,외국인근로자의 고용 등에 관한 법률,법률,제18929호,2022-06-10,2022-12-11
97,외국인근로자의 고용 등에 관한 법률 시행령,대통령령,제32844호,2022-08-02,2023-02-03
98,외국인근로자의 고용 등에 관한 법률 시행규칙,고용노동부령,제408호,2024-01-10,2024-01-10
99,유해ㆍ위험작업의 취업 제한에 관한 규칙,고용노동부령,제433호,2025-01-31,2025-01-31
100,일자리위원회의 설치 및 운영에 관한 규정,대통령령,제32447호,2022-02-17,2022-02-18
101,임금채권보장법,법률,제20233호,2024-02-06,2024-08-07
102,임금채권보장법 시행령,대통령령,제34812호,2024-08-06,2024-08-07
103,임금채권보장법 시행규칙,고용노동부령,제423호,2024-08-06,2024-08-07
104,자격기본법,법률,제19095호,2022-12-27,2023-06-28
105,자격기본법 시행령,대통령령(공동소관),제34449호,2024-04-23,2024-06-01
106,자격기본법 시행규칙,교육부령(공동소관),제332호,2024-06-27,2024-06-27
107,장애인고용촉진 및 직업재활법,법률,제18754호,2022-01-11,2022-07-12
108,장애인고용촉진 및 직업재활법 시행령,대통령령,제35228호,2025-01-21,2025-01-31
109,장애인고용촉진 및 직업재활법 시행규칙,고용노동부령,제416호,2024-06-12,2024-06-12
110,중대재해 처벌 등에 관한 법률,법률,제17907호,2021-01-26,2022-01-27
111,중대재해 처벌 등에 관한 법률 시행령,대통령령,제33023호,2022-12-06,2022-12-08
112,직업교육훈련 촉진법,법률,제19344호,2023-04-18,2023-10-19
113,직업교육훈련 촉진법 시행령,대통령령,제33382호,2023-04-11,2023-06-05
114,직업안정법,법률,제20121호,2024-01-23,2024-07-24
115,직업안정법 시행령,대통령령,제35172호,2024-12-31,2024-12-31
116,직업안정법 시행규칙,고용노동부령,제416호,2024-06-12,2024-06-12
117,진폐의 예방과 진폐근로자의 보호 등에 관한 법률,법률,제19613호,2023-08-08,2023-08-08
118,진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령,대통령령,제32780호,2022-07-05,2022-07-05
119,진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행규칙,고용노동부령,제383호,2023-06-30,2023-06-30
120,채용절차의 공정화에 관한 법률,법률,제17326호,2020-05-26,2020-05-26
121,채용절차의 공정화에 관한 법률 시행령,대통령령,제29963호,2019-07-09,2019-07-17
122,채용절차의 공정화에 관한 법률 시행규칙,고용노동부령,제119호,2014-12-31,2014-12-31
123,청년고용촉진 특별법,법률,제19940호,2023-12-31,2023-12-31
124,청년고용촉진 특별법 시행령,대통령령,제32447호,2022-02-17,2022-02-18
125,최저임금법,법률,제17326호,2020-05-26,2020-05-26
126,최저임금법 시행령,대통령령,제29469호,2018-12-31,2019-01-01
127,최저임금법 시행규칙,고용노동부령,제240호,2018-12-31,2019-01-01
128,통상환경변화 대응 및 지원 등에 관한 법률,법률,제20320호,2024-02-20,2025-01-01
129,통상환경변화 대응 및 지원 등에 관한 법률 시행령,대통령령,제35053호,2024-12-10,2025-01-01
130,통상환경변화 대응 및 지원 등에 관한 법률 시행규칙,산업통상자원부령/고용노동부령,제590호/제428호,2024-12-26,2025-01-01
131,파견근로자 보호 등에 관한 법률,법률,제17605호,2020-12-08,2020-12-08
132,파견근로자 보호 등에 관한 법률 시행령,대통령령,제30256호,2019-12-24,2020-01-16
133,파견근로자 보호 등에 관한 법률 시행규칙,고용노동부령,제416호,2024-06-12,2024-06-12
134,파독 광부ㆍ간호사ㆍ간호조무사에 대한 지원 및 기념사업에 관한 법률,법률,제17436호,2020-06-09,2021-06-10
135,파독 광부ㆍ간호사ㆍ간호조무사에 대한 지원 및 기념사업에 관한 법률 시행령,대통령령,제31694호,2021-05-18,2021-06-10
136,필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률,법률,제18182호,2021-05-18,2021-11-19
137,필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령,대통령령,제32129호,2021-11-19,2021-11-19
138,한국고용노동교육원법,법률,제18930호,2022-06-10,2022-06-10
139,한국고용노동교육원법 시행령,대통령령,제31028호,2020-09-22,2020-10-01
140,한국산업안전보건공단법,법률,제14502호,2016-12-27,2016-12-27
141,한국산업안전보건공단법 시행령,대통령령,제35228호,2025-01-21,2025-01-31
142,한국산업인력공단법,법률,제18425호,2021-08-17,2022-02-18
143,한국산업인력공단법 시행령,대통령령,제35228호,2025-01-21,2025-01-31
